word,rank,rank_a,cluster,type
good,1,1,1,l
old,105,56,56,d
unique,0,0,0,u
positive,22,23,23,l
ungrateful,188,418,418,d
crossfit,78,413,413,u
healthy,130,65,65,l
limited,25,93,93,d
languages,85,205,205,u
great,2,7,7,l
pounds,92,550,550,d
different,3,27,27,u
people,14,11,11,d
style,32,119,119,u
serious,222,625,625,l
creative,0,2,2,l
fat,30,97,97,d
friends,54,37,37,u
beauty,53,114,114,l
shy,2,20,20,d
same,271,163,163,u
eyes,5,19,19,l
weight,0,3,3,d
poetry,270,287,287,u
funny,12,21,21,l
temper,22,91,91,d
person,7,13,13,l
hairy,128,435,435,d
life,2,4,4,u
children,69,200,200,l
enought,193,375,375,d
Apacha,90,209,209,u
new,20,18,18,l
things,7,16,16,d
free,158,339,339,u
smart,15,43,43,l
beer,176,477,477,d
Father,254,382,382,u
Tend,156,250,250,d
VERY,207,142,142,l
HOLD,230,399,399,d
FANTASTIC,232,420,420,u
attractive,11,42,42,d
own,43,35,35,u
honest,17,29,29,l
honest,39,29,29,u
chemist,204,615,615,l
great,25,7,7,u
lack,8,46,46,d
athlete,236,267,267,u
body,103,234,234,d
relationships,66,94,94,d
Something,151,44,44,u
beautiful,184,273,273,l
tummy,46,138,138,d
kind,23,50,50,l
tired,171,226,226,d
wrong,226,295,295,d
freckle,264,291,291,u
bad,12,41,41,d
goofy,36,125,125,u
sense,18,12,12,l
worrier,98,432,432,d
curious,137,178,178,u
other,13,10,10,l
critical,5,34,34,d
unusual,198,470,470,u
nice,6,22,22,l
impatient,10,58,58,d
eyes,48,19,19,u
indecisive,129,449,449,d
many,12,26,26,u
mad,54,115,115,d
ears,122,433,433,u
ability,9,15,15,l
Something,34,44,44,d
athletic,30,54,54,u
people,16,11,11,l
lots,118,442,442,d
quirky,215,592,592,u
unique,88,0,0,l
hair,3,5,5,d
books,37,126,126,u
individual,101,80,80,l
negative,31,108,108,d
loyal,32,59,59,l
lazy,1,9,9,d
able,6,14,14,u
proud,59,143,143,l
dreams,89,545,545,d
optimistic,50,162,162,l
tendency,26,118,118,d
create,203,472,472,u
shape,62,171,171,d
head,42,45,45,u
something,50,112,112,d
happy,47,40,40,u
hard-working,219,606,606,l
only,9,52,52,u
capable,156,156,156,l
wide,51,77,77,u
attractive,35,42,42,l
life,4,4,4,d
bicycle,192,225,225,u
musician,167,262,262,l
facial,101,174,174,u
good,1,1,1,u
large,35,62,62,u
able,19,14,14,l
cars,154,338,338,u
selfish,209,611,611,d
woman,49,68,68,l
mean,13,74,74,d
