sent,rank,rank_a,cluster,type,num
I like the fact that I have very good physical endurance.,1,2,2,l,1
I don't like the fact that I am getting old.,106,58,58,d,1
My ability to concentrate and focus for prolonged periods of time are judged unique by people who know me.,0,0,0,u,1
I like that I am confident and positive,162,159,159,l,2
I don't like how I am sometimes ungrateful for my blessings,188,422,422,d,2
I am obsessed with crossfit,79,417,417,u,2
I like the fact I'm healthy.,132,67,67,l,3
That I'm limited by my size.,26,93,93,d,3
I can speak three languages fluently.,86,207,207,u,3
I have a great sense of humor and people tell me I am funny.,2,8,8,l,4
I am about 20 pounds overwieght.,93,554,554,d,4
"I have eyes that are almost yellow, a very different shade of green.",68,198,198,u,4
I think that I  have a great kind personality,2,8,8,l,5
I think that I let people take advantage of my kindness,14,12,12,d,5
"I am an accountant, but can make wedding style decorated cakes",212,596,596,u,5
How I take my responsibilities serious.,224,631,631,l,6
The way that I let people I love run over me.,20,36,36,d,6
My taste in style and culture.,255,608,608,u,6
That I can be pretty creative around food,0,1,1,l,7
my stomach. I think it looks fat even though others disagree,31,97,97,d,7
"my friends refer to me as a ""human wikipedia""",55,37,37,u,7
I'am simple and beauty inside,85,216,216,l,8
lack of self confidence shy,8,46,46,d,8
There is nobody else on earth that's exactly the same like me.,74,413,413,u,8
my eyes,6,19,19,l,9
my weight,0,3,3,d,9
poetry writing,274,289,289,u,9
I like that I am smart and funny.,12,23,23,l,10
I dont like my temper.,23,91,91,d,10
my laugh is very unique.,0,0,0,u,10
I am a caring person.,28,85,85,l,11
I have a hairy back.,128,439,439,d,11
My perspective on life makes me unique.,135,99,99,u,11
I am married with three children.,70,202,202,l,12
I don't get to spend enought time with my kids due to work.,193,379,379,d,12
My name is Apacha and you will not find that anywhere else.,109,325,325,u,12
I pick up new technologies quickly,20,18,18,l,13
I worry about things I have no control over,7,16,16,d,13
I enjoy building things in my free time,159,343,343,u,13
I like that I am considered to be smart,15,43,43,l,14
I don't like that I drink too much beer,176,481,481,d,14
